name,type,url,date_added,source,path,parent_path
Bookmarks bar,folder,,13381124584891775,bookmark_bar,Bookmarks bar,
LSE MnC,url,https://www.lse.ac.uk/study-at-lse/graduate/mphilphd-media-and-communications,13383211473695347,bookmark_bar,Bookmarks bar >> LSE MnC,Bookmarks bar
UST,url,https://www.ust.ac.kr/prog/major/eng/sub03_03_02/all/view.do?majorNo=70,13383212679593621,bookmark_bar,Bookmarks bar >> UST,Bookmarks bar
UC Davis,url,https://www.ucdavis.edu/graduate-programs/communication,13383212276607501,bookmark_bar,Bookmarks bar >> UC Davis,Bookmarks bar
US ACE,url,https://www.sydney.edu.au/arts/schools/school-of-art-communication-and-english.html,13383211312305485,bookmark_bar,Bookmarks bar >> US ACE,Bookmarks bar
QUT DMRC,url,https://research.qut.edu.au/dmrc/,13383210425813345,bookmark_bar,Bookmarks bar >> QUT DMRC,Bookmarks bar
UNSW MnC,url,https://www.unsw.edu.au/arts-design-architecture/study-with-us/study-areas/media-communications,13383210264799200,bookmark_bar,Bookmarks bar >> UNSW MnC,Bookmarks bar
AAS,url,https://www.cognitoforms.com/AustraliaAwardsInIndonesia1/TheApplicationFormForAnAustraliaAwardsScholarship2026Intake2#L_DEmw8skLKCMHQc32i9sVfeXeQYKSVxgZP-Cov2Sxc$*,13383300733045505,bookmark_bar,Bookmarks bar >> AAS,Bookmarks bar
Other bookmarks,folder,,13381124584891782,other,Other bookmarks,
AI,folder,,13313210870914736,other,Other bookmarks >> AI,Other bookmarks
OpenAI Research,url,https://openai.com/research/,13292947243777369,other,Other bookmarks >> AI >> OpenAI Research,Other bookmarks >> AI
Google AI,url,https://ai.google/,13292947257888042,other,Other bookmarks >> AI >> Google AI,Other bookmarks >> AI
Research – Google AI,url,https://ai.google/research/,13292947279013127,other,Other bookmarks >> AI >> Research – Google AI,Other bookmarks >> AI
Tools – Google AI,url,https://ai.google/tools/,13292947285434352,other,Other bookmarks >> AI >> Tools – Google AI,Other bookmarks >> AI
Google Research,url,https://research.google/,13292947292549188,other,Other bookmarks >> AI >> Google Research,Other bookmarks >> AI
Google Quantum AI,url,https://quantumai.google/,13292947301658753,other,Other bookmarks >> AI >> Google Quantum AI,Other bookmarks >> AI
People + AI Research,url,https://pair.withgoogle.com/,13292947309138874,other,Other bookmarks >> AI >> People + AI Research,Other bookmarks >> AI
Google Open Source,url,https://opensource.google/,13292947314382684,other,Other bookmarks >> AI >> Google Open Source,Other bookmarks >> AI
Meta Research,url,https://research.facebook.com/,13292947328977063,other,Other bookmarks >> AI >> Meta Research,Other bookmarks >> AI
Meta AI,url,https://ai.facebook.com/,13292947333201195,other,Other bookmarks >> AI >> Meta AI,Other bookmarks >> AI
Stability.Ai,url,https://stability.ai/,13304953122742180,other,Other bookmarks >> AI >> Stability.Ai,Other bookmarks >> AI
LAION,url,https://laion.ai/,13304953450213125,other,Other bookmarks >> AI >> LAION,Other bookmarks >> AI
alpaca - Humans 🤝 AI Models for Image generation,url,https://www.getalpaca.io/,13306048635426616,other,Other bookmarks >> AI >> alpaca - Humans 🤝 AI Models for Image generation,Other bookmarks >> AI
Home - Public Prompts,url,https://publicprompts.art/,13310013452288247,other,Other bookmarks >> AI >> Home - Public Prompts,Other bookmarks >> AI
https://bleedingedge.ai/,url,https://bleedingedge.ai/,13311596436773418,other,Other bookmarks >> AI >> https://bleedingedge.ai/,Other bookmarks >> AI
Nomic AI,url,https://home.nomic.ai/,13311920853824967,other,Other bookmarks >> AI >> Nomic AI,Other bookmarks >> AI
200+ AI Tools,url,https://www.magictools.online/,13312015125656921,other,Other bookmarks >> AI >> 200+ AI Tools,Other bookmarks >> AI
A free online introduction to artificial intelligence for non-experts,url,https://www.elementsofai.com/,13318168615651813,other,Other bookmarks >> AI >> A free online introduction to artificial intelligence for non-experts,Other bookmarks >> AI
Prime Voice AI,url,https://beta.elevenlabs.io/,13319511519733979,other,Other bookmarks >> AI >> Prime Voice AI,Other bookmarks >> AI
AI Grammar Checker & Online Academic Writing Tool for Researchers | Paperpal,url,https://paperpal.com/,13321842642429100,other,Other bookmarks >> AI >> AI Grammar Checker & Online Academic Writing Tool for Researchers | Paperpal,Other bookmarks >> AI
Respell,url,https://respell.ai/,13324614722732948,other,Other bookmarks >> AI >> Respell,Other bookmarks >> AI
Fliki - Turn text into videos with AI voices,url,https://fliki.ai/,13324828784863459,other,Other bookmarks >> AI >> Fliki - Turn text into videos with AI voices,Other bookmarks >> AI
"H2O.ai | The fastest, most accurate AI Cloud Platform",url,https://h2o.ai/,13326430081606564,other,"Other bookmarks >> AI >> H2O.ai | The fastest, most accurate AI Cloud Platform",Other bookmarks >> AI
https://www.chartgpt.dev,url,https://www.chartgpt.dev/,13326770661118013,other,Other bookmarks >> AI >> https://www.chartgpt.dev,Other bookmarks >> AI
ChatGPT-2D: Use ChatGPT on a 2 Dimensional Interface,url,https://superusapp.com/chatgpt2d/,13327474277662012,other,Other bookmarks >> AI >> ChatGPT-2D: Use ChatGPT on a 2 Dimensional Interface,Other bookmarks >> AI
AItoolkit - The best AI Tools & Resources Directory,url,https://www.aitoolkit.org/?ref=producthunt,13327735882950173,other,Other bookmarks >> AI >> AItoolkit - The best AI Tools & Resources Directory,Other bookmarks >> AI
Replicate – Run open-source machine learning models with a cloud API,url,https://replicate.com/,13328884248257295,other,Other bookmarks >> AI >> Replicate – Run open-source machine learning models with a cloud API,Other bookmarks >> AI
AI for Beginners,url,https://microsoft.github.io/AI-For-Beginners/,13330461486855239,other,Other bookmarks >> AI >> AI for Beginners,Other bookmarks >> AI
KNN (K Nearest Neighbors) in Python - ML From Scratch 01 - Python Engineer,url,https://www.python-engineer.com/courses/mlfromscratch/01_knn/,13330464667954871,other,Other bookmarks >> AI >> KNN (K Nearest Neighbors) in Python - ML From Scratch 01 - Python Engineer,Other bookmarks >> AI
AI Agent | Supercharge Your Workflows with AI,url,https://aiagent.app/,13330871310476075,other,Other bookmarks >> AI >> AI Agent | Supercharge Your Workflows with AI,Other bookmarks >> AI
Prompt Engineering Guide | Prompt Engineering Guide,url,https://www.promptingguide.ai/,13334041380305322,other,Other bookmarks >> AI >> Prompt Engineering Guide | Prompt Engineering Guide,Other bookmarks >> AI
Teachable Machine,url,https://teachablemachine.withgoogle.com/,13335194317276167,other,Other bookmarks >> AI >> Teachable Machine,Other bookmarks >> AI
GitHub - Paitesanshi/LLM-Agent-Survey,url,https://github.com/Paitesanshi/LLM-Agent-Survey,13339247929073759,other,Other bookmarks >> AI >> GitHub - Paitesanshi/LLM-Agent-Survey,Other bookmarks >> AI
The Unreasonable Effectiveness of Recurrent Neural Networks,url,https://karpathy.github.io/2015/05/21/rnn-effectiveness/,13339379322735416,other,Other bookmarks >> AI >> The Unreasonable Effectiveness of Recurrent Neural Networks,Other bookmarks >> AI
OpenAI Cookbook,url,https://cookbook.openai.com/,13339896242596600,other,Other bookmarks >> AI >> OpenAI Cookbook,Other bookmarks >> AI
Welcome to LLM University!,url,https://docs.cohere.com/docs/llmu,13341158434778088,other,Other bookmarks >> AI >> Welcome to LLM University!,Other bookmarks >> AI
AI Engineer Summit,url,https://www.ai.engineer/summit,13341417657098006,other,Other bookmarks >> AI >> AI Engineer Summit,Other bookmarks >> AI
Welcome to State of AI Report 2023,url,https://www.stateof.ai/,13342054897622636,other,Other bookmarks >> AI >> Welcome to State of AI Report 2023,Other bookmarks >> AI
Phind - AI Search Engine and Pair Programmer,url,https://www.phind.com/,13343307395480420,other,Other bookmarks >> AI >> Phind - AI Search Engine and Pair Programmer,Other bookmarks >> AI
Future House,url,https://www.futurehouse.org/,13343378750809495,other,Other bookmarks >> AI >> Future House,Other bookmarks >> AI
ploterre,url,https://ploterre.com/,13344688795756326,other,Other bookmarks >> AI >> ploterre,Other bookmarks >> AI
tldraw,url,https://www.tldraw.com/,13345724457939121,other,Other bookmarks >> AI >> tldraw,Other bookmarks >> AI
AI is easy to control – AI Optimism,url,https://optimists.ai/2023/11/28/ai-is-easy-to-control/,13345782747133042,other,Other bookmarks >> AI >> AI is easy to control – AI Optimism,Other bookmarks >> AI
"Pi, your personal AI",url,https://pi.ai/talk,13345879186810122,other,"Other bookmarks >> AI >> Pi, your personal AI",Other bookmarks >> AI
